date,product,category,region,quantity,revenue
2025-01-05,Laptop,Electronics,North,5,250000
2025-01-12,Headphones,Accessories,West,20,60000
2025-01-20,Phone,Electronics,East,10,400000
2025-02-03,TV,Electronics,South,4,220000
2025-02-10,Mouse,Accessories,North,30,45000
2024-02-18,Keyboard,Accessories,East,15,75000
2025-03-05,Laptop,Electronics,West,6,300000
2025-03-15,Smartwatch,Wearables,North,10,150000
2025-03-25,Phone,Electronics,South,12,480000
2025-04-02,Headphones,Accessories,East,25,80000
2024-04-10,Tablet,Electronics,West,5,180000
2024-04-20,TV,Electronics,North,3,150000
2024-05-03,Phone,Electronics,East,8,350000
2024-05-12,Keyboard,Accessories,South,20,90000
2024-05-22,Laptop,Electronics,West,7,350000
2024-06-05,Mouse,Accessories,North,40,60000
2024-06-15,Smartwatch,Wearables,East,15,210000
2024-06-25,TV,Electronics,South,5,250000
2024-07-03,Phone,Electronics,North,9,420000
2024-07-11,Laptop,Electronics,West,4,200000
2024-07-19,Headphones,Accessories,East,35,120000
2024-08-02,Tablet,Electronics,South,6,220000
2024-08-10,Smartwatch,Wearables,North,18,270000
2024-08-22,Mouse,Accessories,West,50,75000
2024-09-01,Phone,Electronics,East,10,450000
2024-09-09,Laptop,Electronics,North,6,300000
2024-09-20,Keyboard,Accessories,South,22,100000
2024-10-03,TV,Electronics,West,5,270000
2024-10-15,Smartwatch,Wearables,East,14,210000
2024-10-25,Phone,Electronics,North,11,500000
2024-11-05,Headphones,Accessories,South,25,85000
2024-11-15,Tablet,Electronics,East,8,300000
2024-11-28,Mouse,Accessories,West,45,70000
2024-12-03,Laptop,Electronics,North,5,260000
2024-12-14,Smartwatch,Wearables,South,12,180000
2024-12-27,Phone,Electronics,West,9,460000
